Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
Immortality is such a juvenile notion but prolonging life here and thereafter is not,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Immortality can only be achieved through eudaimonia alone - in whatever life; Life may get more complex with intellect; Too much education may make you blind to life itself,"To them who by patient continuance in well doing seek for glory and honour and immortality, eternal life:",Romans 2:7
Nature is most kind to those with a display of passion,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,"Remember kind and bad words but dwell on only the kind ones; Pursue your passion and not the money, and if a compromise may be found, so be it; Unformed is he/she who never attempted to pursue their passion at least once",For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature:,Romans 1:26
Learning without thought means hardship is spared - thought without learning is circular,General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Learning from history is the quickest way to wisdom; Learning from mistakes cuts short one side of our life; Do not let your any secular group bias your entire view of the world without thought,"But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.",Philemon 1:14
"Things always happen for a reason, not necessarily yours on lesse you will it",General,Neutral,Advisory,General,Anytime Wisdom,77,5.8,"All accidents are caused, on lesse an accident happen; If you raise some beast to be too smart strange things may happen; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",For oftentimes also thine own heart knoweth that thou thyself likewise hast cursed others.,Ecclesiastes 7:22
Immortality can only be achieved through eudaimonia alone - in whatever life,General,Neutral,Reflective,General,Anytime Wisdom,76,5.7,Immortality is such a juvenile notion but prolonging life here and thereafter is not; Life may get more complex with intellect; Too much education may make you blind to life itself,"For this corruptible must put on incorruption, and this mortal must put on immortality.",I Corinthians 15:53
Proliferating to excess without the finances to pass down is selfish and cruel,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,"Hilarity and humour is dehumanizing if done to excess; If you know someone is beyond hope, and you did all you could, pass him/her on; If bored reminiscence on the things you did to pass time when younger",So are the ways of every one that is greedy of gain; which taketh away the life of the owners thereof.,Proverbs 1:19
If you miss a special celebration rest assured you can create your own celebration day,General,Neutral,Reflective,General,Anytime Wisdom,86,6.5,If anything can go wrong rest assured it shall not always or ever be so; Compare yourself to others only in a noble and just manner - lest you create envy in others; Never forget a remembrance day to a loved one,And ye shall keep it a feast unto the Lord seven days in the year. It shall be a statute for ever in your generations: ye shall celebrate it in the seventh month.,Leviticus 23:41
Embrace A.I. - think!,General,Neutral,Reflective,General,Anytime Wisdom,21,1.6,"If you think your experience is unique, think again, you are only human; Embrace technology but relish simplicity; Be open to new ideas, but do not openly embrace anything without some skepticism","His left hand should be under my head, and his right hand should embrace me.",Song of Solomon 8:3
If someone commits evil believe in redemption but if no sign of hope then no mercy,Ethics,Serious,Inspirational,Ethics,Anytime Wisdom,82,6.2,"If you know someone is beyond hope, and you did all you could, pass him/her on; If it hurts for you to see someone else in pain then maybe you are not without hope; Believe in the Jack",Evil pursueth sinners: but to the righteous good shall be repayed.,Proverbs 13:21
Be happy for others,General,Neutral,Reflective,General,Anytime Wisdom,19,1.4,Do the hobby that makes you most happy ultimately; Be happy for those that foster trouble free lives; Some individuals will never experience pain or suffering - feel happy for them,"Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
Even the most unlikely individuals do too have a story to tell,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,There is always a place for you in a story; The most unlikely people will remember you for the longest time; The most perfect individuals are often unknown,"And thirty and two thousand persons in all, of women that had not known man by lying with him.",Numbers 31:35
Public transportation en mass is the way of to be but not the far future,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,"Favouritism will only get you so far but it gives you identity; Some news never make it to the public on the basis of hearsay, this with good cause; Every sinner has a past and every saint a future",To call passengers who go right on their ways:,Proverbs 9:15
A world without anti-heroes and evil is possible not devoid of purpose,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,70,5.3,How daft does someone have to be to live without purpose?; Devotion to a cause gives one purpose like none other; What you do not understand about this world ‘may' be for your own safety,"For without are dogs, and sorcerers, and whoremongers, and murderers, and idolaters, and whosoever loveth and maketh a lie.",Revelation of John 22:15
"The power of love does not cure just any evil, and violence at times helps not either","Love, Ethics",Serious,Reflective,Relationships,Anytime Wisdom,85,6.4,"If a friend betrays you once, then again, and then several times more, that person is ‘evil'; Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware; Just because you may know everything does not mean you can't listen",Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.,Romans 12:9
Success doesn't come to you; it is to be discovered by your own accord,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,Over kill for success is not that good; Just because someone doesn't work does not mean they are stupid; Love comes and goes many times over but a soulmate may only come once,"All this have I proved by wisdom: I said, I will be wise; but it was far from me.",Ecclesiastes 7:23
